 Temperature_C1__Closed_Homogeneous_Closed_Homogeneous_(C1)_(K), 1000/T_(1/K), Ignition_time_1_by_ignition_T_(sec),,
1.01E+03,9.93E-01,1.99E-03,,
1.01E+03,9.92E-01,1.88E-03,,
1.01E+03,9.91E-01,1.77E-03,,
1.01E+03,9.90E-01,1.68E-03,,
1.01E+03,9.89E-01,1.58E-03,,
1.01E+03,9.88E-01,1.49E-03,,
1.01E+03,9.87E-01,1.40E-03,,
1.01E+03,9.86E-01,1.32E-03,,
1.02E+03,9.85E-01,1.24E-03,,
1.02E+03,9.84E-01,1.16E-03,,
1.02E+03,9.83E-01,1.09E-03,,
1.02E+03,9.82E-01,1.02E-03,,
1.02E+03,9.81E-01,9.51E-04,,
1.02E+03,9.80E-01,8.87E-04,,
1.02E+03,9.79E-01,8.26E-04,,
1.02E+03,9.78E-01,7.67E-04,,
1.02E+03,9.78E-01,7.12E-04,,
1.02E+03,9.77E-01,6.59E-04,,
1.03E+03,9.76E-01,6.10E-04,,
1.03E+03,9.75E-01,5.63E-04,,
1.03E+03,9.74E-01,5.19E-04,,
1.03E+03,9.73E-01,4.78E-04,,
1.03E+03,9.72E-01,4.40E-04,,
1.03E+03,9.71E-01,4.05E-04,,
1.03E+03,9.70E-01,3.72E-04,,
1.03E+03,9.69E-01,3.43E-04,,
1.03E+03,9.68E-01,3.16E-04,,
1.03E+03,9.67E-01,2.92E-04,,
1.04E+03,9.66E-01,2.70E-04,,
1.04E+03,9.65E-01,2.51E-04,,
1.04E+03,9.64E-01,2.34E-04,,
1.04E+03,9.63E-01,2.18E-04,,
1.04E+03,9.62E-01,2.04E-04,,
1.04E+03,9.62E-01,1.92E-04,,
1.04E+03,9.61E-01,1.81E-04,,
1.04E+03,9.60E-01,1.71E-04,,
1.04E+03,9.59E-01,1.62E-04,,
1.04E+03,9.58E-01,1.53E-04,,
1.05E+03,9.57E-01,1.46E-04,,
1.05E+03,9.56E-01,1.39E-04,,
1.05E+03,9.55E-01,1.33E-04,,
1.05E+03,9.54E-01,1.28E-04,,
1.05E+03,9.53E-01,1.22E-04,,
1.05E+03,9.52E-01,1.18E-04,,
1.05E+03,9.51E-01,1.13E-04,,
1.05E+03,9.51E-01,1.09E-04,,
1.05E+03,9.50E-01,1.05E-04,,
1.05E+03,9.49E-01,1.02E-04,,
1.06E+03,9.48E-01,9.85E-05,,
1.06E+03,9.47E-01,9.54E-05,,
1.06E+03,9.46E-01,9.24E-05,,
1.06E+03,9.45E-01,8.97E-05,,
1.06E+03,9.44E-01,8.72E-05,,
1.06E+03,9.43E-01,8.47E-05,,
1.06E+03,9.43E-01,8.24E-05,,
1.06E+03,9.42E-01,8.02E-05,,
1.06E+03,9.41E-01,7.81E-05,,
1.06E+03,9.40E-01,7.62E-05,,
1.07E+03,9.39E-01,7.44E-05,,
1.07E+03,9.38E-01,7.25E-05,,
1.07E+03,9.37E-01,7.09E-05,,
1.07E+03,9.36E-01,6.93E-05,,
1.07E+03,9.35E-01,6.77E-05,,
1.07E+03,9.35E-01,6.63E-05,,
1.07E+03,9.34E-01,6.48E-05,,
1.07E+03,9.33E-01,6.35E-05,,
1.07E+03,9.32E-01,6.21E-05,,
1.07E+03,9.31E-01,6.09E-05,,
1.08E+03,9.30E-01,5.97E-05,,
1.08E+03,9.29E-01,5.86E-05,,
1.08E+03,9.29E-01,5.74E-05,,
1.08E+03,9.28E-01,5.64E-05,,
1.08E+03,9.27E-01,5.53E-05,,
1.08E+03,9.26E-01,5.43E-05,,
1.08E+03,9.25E-01,5.34E-05,,
1.08E+03,9.24E-01,5.25E-05,,
1.08E+03,9.23E-01,5.15E-05,,
1.08E+03,9.23E-01,5.07E-05,,
1.09E+03,9.22E-01,4.98E-05,,
1.09E+03,9.21E-01,4.90E-05,,
1.09E+03,9.20E-01,4.83E-05,,
1.09E+03,9.19E-01,4.75E-05,,
1.09E+03,9.18E-01,4.67E-05,,
1.09E+03,9.17E-01,4.60E-05,,
1.09E+03,9.17E-01,4.53E-05,,
1.09E+03,9.16E-01,4.46E-05,,
1.09E+03,9.15E-01,4.39E-05,,
1.09E+03,9.14E-01,4.33E-05,,
1.10E+03,9.13E-01,4.27E-05,,
1.10E+03,9.12E-01,4.21E-05,,
1.10E+03,9.12E-01,4.15E-05,,
1.10E+03,9.11E-01,4.09E-05,,
1.10E+03,9.10E-01,4.03E-05,,
1.10E+03,9.09E-01,3.98E-05,,
1.10E+03,9.08E-01,3.93E-05,,
1.10E+03,9.07E-01,3.87E-05,,
1.10E+03,9.07E-01,3.83E-05,,
1.10E+03,9.06E-01,3.78E-05,,
1.11E+03,9.05E-01,3.73E-05,,
1.11E+03,9.04E-01,3.68E-05,,
1.11E+03,9.03E-01,3.63E-05,,
1.11E+03,9.03E-01,3.58E-05,,
1.11E+03,9.02E-01,3.54E-05,,
1.11E+03,9.01E-01,3.50E-05,,
1.11E+03,9.00E-01,3.46E-05,,
1.11E+03,8.99E-01,3.42E-05,,
1.11E+03,8.98E-01,3.38E-05,,
1.11E+03,8.98E-01,3.34E-05,,
1.12E+03,8.97E-01,3.30E-05,,
1.12E+03,8.96E-01,3.26E-05,,
1.12E+03,8.95E-01,3.22E-05,,
1.12E+03,8.94E-01,3.19E-05,,
1.12E+03,8.94E-01,3.15E-05,,
1.12E+03,8.93E-01,3.12E-05,,
