 Temperature_C1__Closed_Homogeneous_Closed_Homogeneous_(C1)_(K), 1000/T_(1/K), Ignition_time_1_by_ignition_T_(sec),,
1.12E+03,8.92E-01,3.08E-05,,
1.12E+03,8.91E-01,3.05E-05,,
1.12E+03,8.90E-01,3.01E-05,,
1.12E+03,8.90E-01,2.98E-05,,
1.13E+03,8.89E-01,2.95E-05,,
1.13E+03,8.88E-01,2.92E-05,,
1.13E+03,8.87E-01,2.89E-05,,
1.13E+03,8.87E-01,2.86E-05,,
1.13E+03,8.86E-01,2.83E-05,,
1.13E+03,8.85E-01,2.81E-05,,
1.13E+03,8.84E-01,2.78E-05,,
1.13E+03,8.83E-01,2.75E-05,,
1.13E+03,8.83E-01,2.72E-05,,
1.13E+03,8.82E-01,2.69E-05,,
1.14E+03,8.81E-01,2.66E-05,,
1.14E+03,8.80E-01,2.64E-05,,
1.14E+03,8.80E-01,2.61E-05,,
1.14E+03,8.79E-01,2.59E-05,,
1.14E+03,8.78E-01,2.57E-05,,
1.14E+03,8.77E-01,2.54E-05,,
1.14E+03,8.76E-01,2.52E-05,,
1.14E+03,8.76E-01,2.49E-05,,
1.14E+03,8.75E-01,2.47E-05,,
1.14E+03,8.74E-01,2.45E-05,,
1.15E+03,8.73E-01,2.42E-05,,
1.15E+03,8.73E-01,2.40E-05,,
1.15E+03,8.72E-01,2.38E-05,,
1.15E+03,8.71E-01,2.36E-05,,
1.15E+03,8.70E-01,2.34E-05,,
1.15E+03,8.70E-01,2.32E-05,,
1.15E+03,8.69E-01,2.30E-05,,
1.15E+03,8.68E-01,2.28E-05,,
1.15E+03,8.67E-01,2.26E-05,,
1.15E+03,8.67E-01,2.24E-05,,
1.16E+03,8.66E-01,2.22E-05,,
1.16E+03,8.65E-01,2.20E-05,,
1.16E+03,8.64E-01,2.18E-05,,
1.16E+03,8.64E-01,2.17E-05,,
1.16E+03,8.63E-01,2.15E-05,,
1.16E+03,8.62E-01,2.13E-05,,
1.16E+03,8.61E-01,2.11E-05,,
1.16E+03,8.61E-01,2.09E-05,,
1.16E+03,8.60E-01,2.08E-05,,
1.16E+03,8.59E-01,2.06E-05,,
1.17E+03,8.58E-01,2.04E-05,,
1.17E+03,8.58E-01,2.03E-05,,
1.17E+03,8.57E-01,2.01E-05,,
1.17E+03,8.56E-01,2.00E-05,,
1.17E+03,8.55E-01,1.98E-05,,
1.17E+03,8.55E-01,1.96E-05,,
1.17E+03,8.54E-01,1.95E-05,,
1.17E+03,8.53E-01,1.93E-05,,
1.17E+03,8.53E-01,1.92E-05,,
1.17E+03,8.52E-01,1.91E-05,,
1.18E+03,8.51E-01,1.89E-05,,
1.18E+03,8.50E-01,1.87E-05,,
1.18E+03,8.50E-01,1.86E-05,,
1.18E+03,8.49E-01,1.85E-05,,
1.18E+03,8.48E-01,1.83E-05,,
1.18E+03,8.47E-01,1.82E-05,,
1.18E+03,8.47E-01,1.81E-05,,
1.18E+03,8.46E-01,1.79E-05,,
1.18E+03,8.45E-01,1.78E-05,,
1.18E+03,8.45E-01,1.77E-05,,
1.19E+03,8.44E-01,1.75E-05,,
1.19E+03,8.43E-01,1.74E-05,,
1.19E+03,8.42E-01,1.73E-05,,
1.19E+03,8.42E-01,1.72E-05,,
1.19E+03,8.41E-01,1.71E-05,,
1.19E+03,8.40E-01,1.69E-05,,
1.19E+03,8.40E-01,1.68E-05,,
1.19E+03,8.39E-01,1.67E-05,,
1.19E+03,8.38E-01,1.66E-05,,
1.19E+03,8.38E-01,1.65E-05,,
1.20E+03,8.37E-01,1.63E-05,,
1.20E+03,8.36E-01,1.62E-05,,
1.20E+03,8.35E-01,1.61E-05,,
1.20E+03,8.35E-01,1.60E-05,,
1.20E+03,8.34E-01,1.59E-05,,
1.20E+03,8.33E-01,1.58E-05,,
1.20E+03,8.33E-01,1.57E-05,,
1.20E+03,8.32E-01,1.56E-05,,
1.20E+03,8.31E-01,1.55E-05,,
1.20E+03,8.31E-01,1.54E-05,,
1.21E+03,8.30E-01,1.53E-05,,
1.21E+03,8.29E-01,1.52E-05,,
1.21E+03,8.29E-01,1.51E-05,,
1.21E+03,8.28E-01,1.50E-05,,
1.21E+03,8.27E-01,1.49E-05,,
1.21E+03,8.26E-01,1.48E-05,,
1.21E+03,8.26E-01,1.47E-05,,
1.21E+03,8.25E-01,1.46E-05,,
1.21E+03,8.24E-01,1.45E-05,,
1.21E+03,8.24E-01,1.44E-05,,
1.22E+03,8.23E-01,1.43E-05,,
1.22E+03,8.22E-01,1.42E-05,,
1.22E+03,8.22E-01,1.41E-05,,
1.22E+03,8.21E-01,1.41E-05,,
1.22E+03,8.20E-01,1.40E-05,,
1.22E+03,8.20E-01,1.39E-05,,
1.22E+03,8.19E-01,1.38E-05,,
1.22E+03,8.18E-01,1.37E-05,,
1.22E+03,8.18E-01,1.36E-05,,
1.22E+03,8.17E-01,1.35E-05,,
1.23E+03,8.16E-01,1.34E-05,,
1.23E+03,8.16E-01,1.33E-05,,
1.23E+03,8.15E-01,1.33E-05,,
1.23E+03,8.14E-01,1.32E-05,,
1.23E+03,8.14E-01,1.31E-05,,
1.23E+03,8.13E-01,1.30E-05,,
1.23E+03,8.12E-01,1.30E-05,,
1.23E+03,8.12E-01,1.29E-05,,
1.23E+03,8.11E-01,1.28E-05,,
1.23E+03,8.10E-01,1.27E-05,,
1.24E+03,8.10E-01,1.27E-05,,
1.24E+03,8.09E-01,1.26E-05,,
1.24E+03,8.08E-01,1.25E-05,,
1.24E+03,8.08E-01,1.24E-05,,
1.24E+03,8.07E-01,1.24E-05,,
1.24E+03,8.06E-01,1.23E-05,,
1.24E+03,8.06E-01,1.22E-05,,
1.24E+03,8.05E-01,1.21E-05,,
1.24E+03,8.05E-01,1.21E-05,,
1.24E+03,8.04E-01,1.20E-05,,
1.25E+03,8.03E-01,1.20E-05,,
1.25E+03,8.03E-01,1.19E-05,,
1.25E+03,8.02E-01,1.18E-05,,
1.25E+03,8.01E-01,1.17E-05,,
1.25E+03,8.01E-01,1.17E-05,,
1.25E+03,8.00E-01,1.16E-05,,
1.25E+03,7.99E-01,1.16E-05,,
1.25E+03,7.99E-01,1.15E-05,,
1.25E+03,7.98E-01,1.14E-05,,
1.25E+03,7.97E-01,1.13E-05,,
1.26E+03,7.97E-01,1.13E-05,,
1.26E+03,7.96E-01,1.12E-05,,
1.26E+03,7.96E-01,1.12E-05,,
1.26E+03,7.95E-01,1.11E-05,,
1.26E+03,7.94E-01,1.10E-05,,
1.26E+03,7.94E-01,1.10E-05,,
1.26E+03,7.93E-01,1.09E-05,,
1.26E+03,7.92E-01,1.09E-05,,
1.26E+03,7.92E-01,1.08E-05,,
1.26E+03,7.91E-01,1.08E-05,,
1.27E+03,7.91E-01,1.07E-05,,
1.27E+03,7.90E-01,1.06E-05,,
1.27E+03,7.89E-01,1.06E-05,,
1.27E+03,7.89E-01,1.05E-05,,
1.27E+03,7.88E-01,1.05E-05,,
1.27E+03,7.87E-01,1.04E-05,,
1.27E+03,7.87E-01,1.04E-05,,
1.27E+03,7.86E-01,1.03E-05,,
1.27E+03,7.86E-01,1.02E-05,,
1.27E+03,7.85E-01,1.02E-05,,
1.28E+03,7.84E-01,1.01E-05,,
1.28E+03,7.84E-01,1.01E-05,,
1.28E+03,7.83E-01,1.00E-05,,
1.28E+03,7.82E-01,9.98E-06,,
1.28E+03,7.82E-01,9.91E-06,,
1.28E+03,7.81E-01,9.88E-06,,
1.28E+03,7.81E-01,9.82E-06,,
1.28E+03,7.80E-01,9.79E-06,,
1.28E+03,7.79E-01,9.72E-06,,
1.28E+03,7.79E-01,9.68E-06,,
1.29E+03,7.78E-01,9.63E-06,,
1.29E+03,7.78E-01,9.59E-06,,
1.29E+03,7.77E-01,9.54E-06,,
1.29E+03,7.76E-01,9.49E-06,,
1.29E+03,7.76E-01,9.44E-06,,
1.29E+03,7.75E-01,9.38E-06,,
1.29E+03,7.75E-01,9.34E-06,,
1.29E+03,7.74E-01,9.30E-06,,
1.29E+03,7.73E-01,9.26E-06,,
1.29E+03,7.73E-01,9.19E-06,,
1.30E+03,7.72E-01,9.18E-06,,
1.30E+03,7.72E-01,9.10E-06,,
1.30E+03,7.71E-01,9.09E-06,,
1.30E+03,7.70E-01,9.03E-06,,
1.30E+03,7.70E-01,9.00E-06,,
1.30E+03,7.69E-01,8.94E-06,,
1.30E+03,7.69E-01,8.89E-06,,
1.30E+03,7.68E-01,8.84E-06,,
1.30E+03,7.67E-01,8.80E-06,,
1.30E+03,7.67E-01,8.76E-06,,
1.31E+03,7.66E-01,8.73E-06,,
1.31E+03,7.66E-01,8.68E-06,,
1.31E+03,7.65E-01,8.63E-06,,
1.31E+03,7.65E-01,8.59E-06,,
1.31E+03,7.64E-01,8.55E-06,,
1.31E+03,7.63E-01,8.52E-06,,
1.31E+03,7.63E-01,8.49E-06,,
1.31E+03,7.62E-01,8.44E-06,,
1.31E+03,7.62E-01,8.40E-06,,
1.31E+03,7.61E-01,8.36E-06,,
1.32E+03,7.60E-01,8.31E-06,,
1.32E+03,7.60E-01,8.29E-06,,
1.32E+03,7.59E-01,8.23E-06,,
1.32E+03,7.59E-01,8.22E-06,,
1.32E+03,7.58E-01,8.18E-06,,
1.32E+03,7.58E-01,8.14E-06,,
1.32E+03,7.57E-01,8.11E-06,,
1.32E+03,7.56E-01,8.06E-06,,
1.32E+03,7.56E-01,8.03E-06,,
1.32E+03,7.55E-01,7.98E-06,,
1.33E+03,7.55E-01,7.95E-06,,
1.33E+03,7.54E-01,7.92E-06,,
1.33E+03,7.54E-01,7.87E-06,,
1.33E+03,7.53E-01,7.83E-06,,
1.33E+03,7.52E-01,7.79E-06,,
1.33E+03,7.52E-01,7.78E-06,,
1.33E+03,7.51E-01,7.74E-06,,
1.33E+03,7.51E-01,7.70E-06,,
1.33E+03,7.50E-01,7.68E-06,,
1.33E+03,7.50E-01,7.62E-06,,
1.34E+03,7.49E-01,7.59E-06,,
1.34E+03,7.49E-01,7.55E-06,,
1.34E+03,7.48E-01,7.52E-06,,
1.34E+03,7.47E-01,7.50E-06,,
1.34E+03,7.47E-01,7.46E-06,,
1.34E+03,7.46E-01,7.43E-06,,
1.34E+03,7.46E-01,7.41E-06,,
1.34E+03,7.45E-01,7.38E-06,,
1.34E+03,7.45E-01,7.33E-06,,
1.34E+03,7.44E-01,7.29E-06,,
1.35E+03,7.43E-01,7.25E-06,,
1.35E+03,7.43E-01,7.22E-06,,
1.35E+03,7.42E-01,7.20E-06,,
1.35E+03,7.42E-01,7.19E-06,,
1.35E+03,7.41E-01,7.14E-06,,
1.35E+03,7.41E-01,7.10E-06,,
1.35E+03,7.40E-01,7.08E-06,,
1.35E+03,7.40E-01,7.06E-06,,
1.35E+03,7.39E-01,7.02E-06,,
1.35E+03,7.39E-01,7.00E-06,,
1.36E+03,7.38E-01,6.98E-06,,
1.36E+03,7.37E-01,6.95E-06,,
1.36E+03,7.37E-01,6.92E-06,,
1.36E+03,7.36E-01,6.89E-06,,
1.36E+03,7.36E-01,6.86E-06,,
1.36E+03,7.35E-01,6.83E-06,,
1.36E+03,7.35E-01,6.80E-06,,
1.36E+03,7.34E-01,6.77E-06,,
1.36E+03,7.34E-01,6.73E-06,,
1.36E+03,7.33E-01,6.71E-06,,
1.37E+03,7.33E-01,6.66E-06,,
1.37E+03,7.32E-01,6.64E-06,,
1.37E+03,7.32E-01,6.61E-06,,
1.37E+03,7.31E-01,6.58E-06,,
1.37E+03,7.30E-01,6.55E-06,,
1.37E+03,7.30E-01,6.54E-06,,
1.37E+03,7.29E-01,6.52E-06,,
1.37E+03,7.29E-01,6.48E-06,,
1.37E+03,7.28E-01,6.46E-06,,
1.37E+03,7.28E-01,6.44E-06,,
1.38E+03,7.27E-01,6.41E-06,,
1.38E+03,7.27E-01,6.37E-06,,
1.38E+03,7.26E-01,6.35E-06,,
1.38E+03,7.26E-01,6.32E-06,,
1.38E+03,7.25E-01,6.30E-06,,
1.38E+03,7.25E-01,6.26E-06,,
1.38E+03,7.24E-01,6.27E-06,,
1.38E+03,7.24E-01,6.22E-06,,
1.38E+03,7.23E-01,6.20E-06,,
1.38E+03,7.23E-01,6.18E-06,,
1.39E+03,7.22E-01,6.15E-06,,
1.39E+03,7.22E-01,6.13E-06,,
1.39E+03,7.21E-01,6.09E-06,,
1.39E+03,7.20E-01,6.07E-06,,
1.39E+03,7.20E-01,6.03E-06,,
1.39E+03,7.19E-01,6.02E-06,,
1.39E+03,7.19E-01,5.99E-06,,
1.39E+03,7.18E-01,5.97E-06,,
1.39E+03,7.18E-01,5.96E-06,,
1.39E+03,7.17E-01,5.92E-06,,
1.40E+03,7.17E-01,5.90E-06,,
1.40E+03,7.16E-01,5.91E-06,,
1.40E+03,7.16E-01,5.87E-06,,
1.40E+03,7.15E-01,5.84E-06,,
1.40E+03,7.15E-01,5.82E-06,,
1.40E+03,7.14E-01,5.79E-06,,
1.40E+03,7.14E-01,5.76E-06,,
1.40E+03,7.13E-01,5.74E-06,,
1.40E+03,7.13E-01,5.72E-06,,
1.40E+03,7.12E-01,5.72E-06,,
1.41E+03,7.12E-01,5.68E-06,,
1.41E+03,7.11E-01,5.66E-06,,
1.41E+03,7.11E-01,5.64E-06,,
1.41E+03,7.10E-01,5.63E-06,,
1.41E+03,7.10E-01,5.60E-06,,
1.41E+03,7.09E-01,5.58E-06,,
1.41E+03,7.09E-01,5.57E-06,,
1.41E+03,7.08E-01,5.55E-06,,
1.41E+03,7.08E-01,5.51E-06,,
1.41E+03,7.07E-01,5.49E-06,,
1.42E+03,7.07E-01,5.49E-06,,
1.42E+03,7.06E-01,5.45E-06,,
1.42E+03,7.06E-01,5.45E-06,,
1.42E+03,7.05E-01,5.43E-06,,
1.42E+03,7.05E-01,5.40E-06,,
1.42E+03,7.04E-01,5.39E-06,,
1.42E+03,7.04E-01,5.35E-06,,
1.42E+03,7.03E-01,5.33E-06,,
1.42E+03,7.03E-01,5.30E-06,,
1.42E+03,7.02E-01,5.29E-06,,
1.43E+03,7.02E-01,5.28E-06,,
1.43E+03,7.01E-01,5.24E-06,,
1.43E+03,7.01E-01,5.22E-06,,
1.43E+03,7.00E-01,5.21E-06,,
1.43E+03,7.00E-01,5.20E-06,,
1.43E+03,6.99E-01,5.17E-06,,
1.43E+03,6.99E-01,5.17E-06,,
1.43E+03,6.98E-01,5.14E-06,,
1.43E+03,6.98E-01,5.12E-06,,
1.43E+03,6.97E-01,5.11E-06,,
1.44E+03,6.97E-01,5.09E-06,,
1.44E+03,6.96E-01,5.07E-06,,
1.44E+03,6.96E-01,5.05E-06,,
1.44E+03,6.95E-01,5.03E-06,,
1.44E+03,6.95E-01,5.00E-06,,
1.44E+03,6.94E-01,4.98E-06,,
1.44E+03,6.94E-01,4.97E-06,,
1.44E+03,6.93E-01,4.95E-06,,
1.44E+03,6.93E-01,4.94E-06,,
1.44E+03,6.93E-01,4.92E-06,,
1.45E+03,6.92E-01,4.90E-06,,
1.45E+03,6.92E-01,4.88E-06,,
1.45E+03,6.91E-01,4.87E-06,,
1.45E+03,6.91E-01,4.85E-06,,
1.45E+03,6.90E-01,4.85E-06,,
1.45E+03,6.90E-01,4.81E-06,,
1.45E+03,6.89E-01,4.80E-06,,
1.45E+03,6.89E-01,4.79E-06,,
1.45E+03,6.88E-01,4.77E-06,,
1.45E+03,6.88E-01,4.76E-06,,
1.46E+03,6.87E-01,4.74E-06,,
1.46E+03,6.87E-01,4.70E-06,,
1.46E+03,6.86E-01,4.69E-06,,
1.46E+03,6.86E-01,4.67E-06,,
1.46E+03,6.85E-01,4.68E-06,,
1.46E+03,6.85E-01,4.64E-06,,
1.46E+03,6.84E-01,4.62E-06,,
1.46E+03,6.84E-01,4.61E-06,,
1.46E+03,6.84E-01,4.59E-06,,
1.46E+03,6.83E-01,4.58E-06,,
1.47E+03,6.83E-01,4.56E-06,,
1.47E+03,6.82E-01,4.55E-06,,
1.47E+03,6.82E-01,4.53E-06,,
1.47E+03,6.81E-01,4.52E-06,,
1.47E+03,6.81E-01,4.50E-06,,
1.47E+03,6.80E-01,4.49E-06,,
1.47E+03,6.80E-01,4.48E-06,,
1.47E+03,6.79E-01,4.46E-06,,
1.47E+03,6.79E-01,4.44E-06,,
1.47E+03,6.78E-01,4.45E-06,,
1.48E+03,6.78E-01,4.43E-06,,
1.48E+03,6.78E-01,4.40E-06,,
1.48E+03,6.77E-01,4.38E-06,,
1.48E+03,6.77E-01,4.37E-06,,
1.48E+03,6.76E-01,4.35E-06,,
1.48E+03,6.76E-01,4.34E-06,,
1.48E+03,6.75E-01,4.33E-06,,
1.48E+03,6.75E-01,4.31E-06,,
1.48E+03,6.74E-01,4.30E-06,,
1.48E+03,6.74E-01,4.28E-06,,
1.49E+03,6.73E-01,4.27E-06,,
1.49E+03,6.73E-01,4.26E-06,,
1.49E+03,6.72E-01,4.25E-06,,
1.49E+03,6.72E-01,4.23E-06,,
1.49E+03,6.72E-01,4.22E-06,,
1.49E+03,6.71E-01,4.21E-06,,
1.49E+03,6.71E-01,4.20E-06,,
1.49E+03,6.70E-01,4.18E-06,,
1.49E+03,6.70E-01,4.18E-06,,
1.49E+03,6.69E-01,4.14E-06,,
1.50E+03,6.69E-01,4.12E-06,,
1.50E+03,6.68E-01,4.11E-06,,
1.50E+03,6.68E-01,4.10E-06,,
1.50E+03,6.68E-01,4.08E-06,,
1.50E+03,6.67E-01,4.09E-06,,
1.50E+03,6.67E-01,4.06E-06,,
